Title,Authors,Year,DOI,Journal,Category,Citations,Open Access,PDF Path,Abstract
Ammonia pyrolysis oxidation excited by nanosecond pulsed discharge: Global/fluid models hybrid solution,"Mingming Zhang, Hanyu Wu, Qi Chen et al.",2024,https://doi.org/10.1016/j.jechem.2024.08.047,Journal of Energy Chemistry,Breakdown,4,0,,
Lithium Batteries and the Solid Electrolyte Interphase (SEI)—Progress and Outlook,"Henry Adenusi, Gregory A. Chass, Stefano Passerini et al.",2023,https://doi.org/10.1002/aenm.202203307,Advanced Energy Materials,Breakdown,621,1,,
From Basics to Frontiers: A Comprehensive Review of Plasma-Modified and Plasma-Synthesized Polymer Films,Thierry Dufour,2023,https://doi.org/10.3390/polym15173607,Polymers,Breakdown,100,1,,
Surface flashover in 50 years: Theoretical models and competing mechanisms,"Zhen Li, Ji Liu, Yoshimichi Ohki et al.",2023,https://doi.org/10.1049/hve2.12340,High Voltage,Breakdown,88,1,,
Foundations of plasma enhanced chemical vapor deposition of functional coatings,"Rony Snyders, Dirk Hegemann, Damien Thiry et al.",2023,https://doi.org/10.1088/1361-6595/acdabc,Plasma Sources Science and Technology,Breakdown,63,1,,
Review of condition monitoring and defect inspection methods for composited cable terminals,"Shuaibing Li, Binglei Cao, Jin Li et al.",2023,https://doi.org/10.1049/hve2.12318,High Voltage,Breakdown,63,1,,
"Flash Joule heating for synthesis, upcycling and remediation","Bing Deng, Lucas Eddy, Kevin M. Wyss et al.",2025,https://doi.org/10.1038/s44359-024-00002-4,Nature Reviews Clean Technology,Circuit,70,1,,
Plasma Characterization in a Plugged Theta-Pinch,"Itay Gissis, D. Maler, Yoav Shoshani et al.",2025,https://doi.org/10.1109/ppps56198.2025.11248731,?,Circuit,1,0,,
Energy Storage Systems: Technologies and High-Power Applications,"Ahmed Aghmadi, Osama A. Mohammed",2024,https://doi.org/10.3390/batteries10040141,Batteries,Circuit,178,1,,
Implantable Passive Sensors for Biomedical Applications,"Panagiotis Kassanos, E. Hourdakis",2024,https://doi.org/10.3390/s25010133,Sensors,Circuit,16,1,,
"Design, Simulation, Analysis, Fabrication, and Testing of Toroidal Field Power Supply (TFPS) for Simple Tight Aspect Ratio Machine Assembly","Supriya A. Nair, Urmil Thaker, Tulchhi Ram",2024,https://doi.org/10.1109/tps.2024.3395618,IEEE Transactions on Plasma Science,Circuit,2,0,,
Incorporating Wireless Strategies to Wearable Devices Enabled by a Photocurable Hydrogel for Monitoring Pressure Information,"Yunjian Guo, Feifei Yin, Yang Li et al.",2023,https://doi.org/10.1002/adma.202300855,Advanced Materials,Circuit,144,1,,
A Review on Challenges in DC Microgrid Planning and Implementation,"K. Jithin, Puthan Purayil Haridev, N. Mayadevi et al.",2023,https://doi.org/10.35833/mpce.2022.000053,Journal of Modern Power Systems and Clean Energy,Circuit,111,1,,
Toward Physics-Informed Machine-Learning-Based Predictive Maintenance for Power Converters—A Review,"Youssof Fassi, Vincent Heiries, J. Boutet et al.",2023,https://doi.org/10.1109/tpel.2023.3328438,IEEE Transactions on Power Electronics,Circuit,89,1,,
A Review of System-in-Package Technologies: Application and Reliability of Advanced Packaging,"Haoyu Wang, Jianshe Ma, Yide Yang et al.",2023,https://doi.org/10.3390/mi14061149,Micromachines,Circuit,84,1,,
A Short Review of Through-Silicon via (TSV) Interconnects: Metrology and Analysis,"Jintao Wang, Fangcheng Duan, Ziwen Lv et al.",2023,https://doi.org/10.3390/app13148301,Applied Sciences,Circuit,50,1,,
